Feature,Importance
TotalCharges,0.18490813328773434
MonthlyCharges,0.17722218358624162
tenure,0.15910131977472344
Contract,0.08302752778391717
PaymentMethod,0.050095456246730126
OnlineSecurity,0.04842938437732714
TechSupport,0.041550842993771056
gender,0.02849719994471634
InternetService,0.028415639011388848
OnlineBackup,0.028211755901958444
PaperlessBilling,0.02479105162357403
Partner,0.022834319233122003
MultipleLines,0.022311403081712568
DeviceProtection,0.020873661369736292
SeniorCitizen,0.020510175802431786
Dependents,0.020500754126014185
StreamingMovies,0.017278742849614094
StreamingTV,0.016762682346287385
PhoneService,0.004677766658999254
